Mandala,Sukta,Rishis,Devatas,Categories,Verse,Verse_DEV,Verse_IAST,Word_Index,Word_DEV,Word_IAST,Syllable_Index,Syllable_DEV,Syllable_IAST,Syllable_Onset,Syllable_Nucleus,Syllable_Coda,Syllable_Weight,Syllable_Swaras,Syllable_IAST_Letters,Letter_Index,Letter_Value,Letter_HasSwara,Letter_SwaraType,Letter_PhonemeClass,Letter_VowelLength,Letter_IAST_Index,Letter_IAST_Value,Letter_IAST_PhonemeClass,Letter_IAST_VowelLength
10,125,"Vāc Āmbhṛṇī","Vāc Devi","Ātmastuti",1," अहं रुद्रेभिर् वसुभि श्चरामि । अहमा॑दित्यैरु॒त विश्वदे॑वैः । अहं मित्रावरुणो॒भा बि॑भर्मि । अहमेन्द्रा॒ग्नी अ॒हमश्वि॑नो॒भा ॥"," ahaṃ rudrebhir vasubhiś carāmi । ahamā̍dityairu̱ta viśvade̍vaiḥ । ahaṃ mitrāvaruṇo̱bhā bi̍bharmi । ahamendrā̱gnī a̱hamaśvi̍no̱bhā ॥",2,"वसुभि","vasubhiś",2,"भि","bhiś","भ","ि","","light","udatta|udatta","bhiś",,"","","","",2,"i","Vowel","Short"
10,125,"Vāc Āmbhṛṇī","Vāc Devi","Ātmastuti",1," अहं रुद्रेभिर् वसुभि श्चरामि । अहमा॑दित्यैरु॒त विश्वदे॑वैः । अहं मित्रावरुणो॒भा बि॑भर्मि । अहमेन्द्रा॒ग्नी अ॒हमश्वि॑नो॒भा ॥"," ahaṃ rudrebhir vasubhiś carāmi । ahamā̍dityairu̱ta viśvade̍vaiḥ । ahaṃ mitrāvaruṇo̱bhā bi̍bharmi । ahamendrā̱gnī a̱hamaśvi̍no̱bhā ॥",2,"वसुभि","vasubhiś",2,"भि","bhiś","भ","ि","","light","udatta|udatta","bhiś",,"","","","",3,"ś","Sibilant","None"
10,125,"Vāc Āmbhṛṇī","Vāc Devi","Ātmastuti",1," अहं रुद्रेभिर् वसुभि श्चरामि । अहमा॑दित्यैरु॒त विश्वदे॑वैः । अहं मित्रावरुणो॒भा बि॑भर्मि । अहमेन्द्रा॒ग्नी अ॒हमश्वि॑नो॒भा ॥"," ahaṃ rudrebhir vasubhiś carāmi । ahamā̍dityairu̱ta viśvade̍vaiḥ । ahaṃ mitrāvaruṇo̱bhā bi̍bharmi । ahamendrā̱gnī a̱hamaśvi̍no̱bhā ॥",3,"श्चरामि","carāmi",0,"श्च","ca","श्","च","","light","udatta|udatta|udatta","ca",0,"श",false,"udatta","Sibilant","None",0,"c","Palatal","None"
10,125,"Vāc Āmbhṛṇī","Vāc Devi","Ātmastuti",1," अहं रुद्रेभिर् वसुभि श्चरामि । अहमा॑दित्यैरु॒त विश्वदे॑वैः । अहं मित्रावरुणो॒भा बि॑भर्मि । अहमेन्द्रा॒ग्नी अ॒हमश्वि॑नो॒भा ॥"," ahaṃ rudrebhir vasubhiś carāmi । ahamā̍dityairu̱ta viśvade̍vaiḥ । ahaṃ mitrāvaruṇo̱bhā bi̍bharmi । ahamendrā̱gnī a̱hamaśvi̍no̱bhā ॥",3,"श्चरामि","carāmi",0,"श्च","ca","श्","च","","light","udatta|udatta|udatta","ca",1,"्",false,"udatta","Other","None",1,"a","Vowel","Short"
10,125,"Vāc Āmbhṛṇī","Vāc Devi","Ātmastuti",1," अहं रुद्रेभिर् वसुभि श्चरामि । अहमा॑दित्यैरु॒त विश्वदे॑वैः । अहं मित्रावरुणो॒भा बि॑भर्मि । अहमेन्द्रा॒ग्नी अ॒हमश्वि॑नो॒भा ॥"," ahaṃ rudrebhir vasubhiś carāmi । ahamā̍dityairu̱ta viśvade̍vaiḥ । ahaṃ mitrāvaruṇo̱bhā bi̍bharmi । ahamendrā̱gnī a̱hamaśvi̍no̱bhā ॥",3,"श्चरामि","carāmi",0,"श्च","ca","श्","च","","light","udatta|udatta|udatta","ca",2,"च",false,"udatta","Palatal","None",,"","",""
10,125,"Vāc Āmbhṛṇī","Vāc Devi","Ātmastuti",1," अहं रुद्रेभिर् वसुभि श्चरामि । अहमा॑दित्यैरु॒त विश्वदे॑वैः । अहं मित्रावरुणो॒भा बि॑भर्मि । अहमेन्द्रा॒ग्नी अ॒हमश्वि॑नो॒भा ॥"," ahaṃ rudrebhir vasubhiś carāmi । ahamā̍dityairu̱ta viśvade̍vaiḥ । ahaṃ mitrāvaruṇo̱bhā bi̍bharmi । ahamendrā̱gnī a̱hamaśvi̍no̱bhā ॥",3,"श्चरामि","carāmi",1,"रा","rā","र","ा","","heavy","udatta|udatta","rā",0,"र",false,"udatta","Liquid","None",0,"r","Liquid","None"
10,125,"Vāc Āmbhṛṇī","Vāc Devi","Ātmastuti",1," अहं रुद्रेभिर् वसुभि श्चरामि । अहमा॑दित्यैरु॒त विश्वदे॑वैः । अहं मित्रावरुणो॒भा बि॑भर्मि । अहमेन्द्रा॒ग्नी अ॒हमश्वि॑नो॒भा ॥"," ahaṃ rudrebhir vasubhiś carāmi । ahamā̍dityairu̱ta viśvade̍vaiḥ । ahaṃ mitrāvaruṇo̱bhā bi̍bharmi । ahamendrā̱gnī a̱hamaśvi̍no̱bhā ॥",3,"श्चरामि","carāmi",1,"रा","rā","र","ा","","heavy","udatta|udatta","rā",1,"ा",false,"udatta","Vowel","Long",1,"ā","Vowel","Long"
10,125,"Vāc Āmbhṛṇī","Vāc Devi","Ātmastuti",1," अहं रुद्रेभिर् वसुभि श्चरामि । अहमा॑दित्यैरु॒त विश्वदे॑वैः । अहं मित्रावरुणो॒भा बि॑भर्मि । अहमेन्द्रा॒ग्नी अ॒हमश्वि॑नो॒भा ॥"," ahaṃ rudrebhir vasubhiś carāmi । ahamā̍dityairu̱ta viśvade̍vaiḥ । ahaṃ mitrāvaruṇo̱bhā bi̍bharmi । ahamendrā̱gnī a̱hamaśvi̍no̱bhā ॥",3,"श्चरामि","carāmi",2,"मि","mi","म","ि","","light","udatta|udatta","mi",0,"म",false,"udatta","Nasal","None",0,"m","Nasal","None"
10,125,"Vāc Āmbhṛṇī","Vāc Devi","Ātmastuti",1," अहं रुद्रेभिर् वसुभि श्चरामि । अहमा॑दित्यैरु॒त विश्वदे॑वैः । अहं मित्रावरुणो॒भा बि॑भर्मि । अहमेन्द्रा॒ग्नी अ॒हमश्वि॑नो॒भा ॥"," ahaṃ rudrebhir vasubhiś carāmi । ahamā̍dityairu̱ta viśvade̍vaiḥ । ahaṃ mitrāvaruṇo̱bhā bi̍bharmi । ahamendrā̱gnī a̱hamaśvi̍no̱bhā ॥",3,"श्चरामि","carāmi",2,"मि","mi","म","ि","","light","udatta|udatta","mi",1,"ि",false,"udatta","Vowel","Short",1,"i","Vowel","Short"
10,125,"Vāc Āmbhṛṇī","Vāc Devi","Ātmastuti",1," अहं रुद्रेभिर् वसुभि श्चरामि । अहमा॑दित्यैरु॒त विश्वदे॑वैः । अहं मित्रावरुणो॒भा बि॑भर्मि । अहमेन्द्रा॒ग्नी अ॒हमश्वि॑नो॒भा ॥"," ahaṃ rudrebhir vasubhiś carāmi । ahamā̍dityairu̱ta viśvade̍vaiḥ । ahaṃ mitrāvaruṇo̱bhā bi̍bharmi । ahamendrā̱gnī a̱hamaśvi̍no̱bhā ॥",4,"अहमा॑दित्यैरु॒त","ahamā̍dityairu̱ta",0,"अ","a","","अ","","light","udatta","a",0,"अ",false,"udatta","Vowel","Short",0,"a","Vowel","Short"
